narrative_claim,country,source_type,first_seen,times_seen,example_url,status,notes
Every one MUST stay alert and watch out for each other ⁦@Williams,Kenya,hs_sweep,2026-03-18,1,https://x.com/Willykamau01/status/2034016053437603978,proposed,
his administration and the federal government.,South Sudan,hs_sweep,2026-03-19,1,https://x.com/addisstandard/status/2034528956276179397,proposed,
central government has mobilized unofficial militias in the,South Sudan,hs_sweep,2026-03-19,1,https://x.com/addisstandard/status/2034528956276179397,proposed,
regional administration accused federal officials of repeated in,South Sudan,hs_sweep,2026-03-19,1,https://x.com/addisstandard/status/2034528956276179397,proposed,
to government officials.,South Sudan,hs_sweep,2026-03-19,1,https://x.com/brownlandnews/status/2034355584862925234,proposed,
Transitional Government of National Unity (R-TGoNU) and oppositi,South Sudan,hs_sweep,2026-03-19,1,https://x.com/brownlandnews/status/2034355584862925234,proposed,
Sudanese government on Tuesday defended its ongoing military,South Sudan,hs_sweep,2026-03-19,1,https://x.com/RadioTamazuj/status/2034215475194859619,proposed,
the government did not directly address the origins of,South Sudan,hs_sweep,2026-03-19,1,https://x.com/IwereNews/status/2034343737535709258,proposed,
"federal government as a stabilizing force, insisting it “ha",South Sudan,hs_sweep,2026-03-19,1,https://x.com/IwereNews/status/2034343737535709258,proposed,
"federal government on **17 March**, accusing Mogadishu of a",South Sudan,hs_sweep,2026-03-19,1,https://x.com/Somalimois1/status/2034427157838012663,proposed,
s government and kept some unity. JSM/Laftagareen wou,South Sudan,hs_sweep,2026-03-19,1,https://x.com/Somalimois1/status/2034244693039436199,proposed,
"federal government on 17 March, accusing Mogadishu of armin",South Sudan,hs_sweep,2026-03-20,1,https://x.com/Somalimois1/status/2034426249389490470,proposed,
The government takfirs them too! So both sides takfir e,Somalia,hs_sweep,2026-03-22,1,https://x.com/Suleiman_B1/status/2035377130607960127,proposed,
all events are likely in some parts of the Highlands East and Wes,Kenya,hs_sweep,2026-03-22,1,https://x.com/MeteoKenya/status/2035326086154703343,proposed,
The government has ordered an intensive security operat,Kenya,hs_sweep,2026-03-22,1,https://x.com/TheStarKenya/status/2035361582197166573,proposed,
The Government has commenced a multi agency security op,Kenya,hs_sweep,2026-03-22,1,https://x.com/_KithureKindiki/status/2035369958662607347,proposed,
various Government Programmes and Projects.,Kenya,hs_sweep,2026-03-22,1,https://x.com/_KithureKindiki/status/2035369958662607347,proposed,
National Government remains committed to preventing maternal,Kenya,hs_sweep,2026-03-23,1,https://x.com/MOH_Kenya/status/2035987237645541768,proposed,
Federal Government Declares Mandate of Southwest State Pres,Somalia,hs_sweep,2026-03-23,1,https://x.com/GaroweOnline/status/2035827343491576040,proposed,
The government takes action against banditry. Military,Kenya,hs_sweep,2026-03-23,1,https://x.com/Kenlelekoiten/status/2035983544414032259,proposed,
the Government has a duty to protect the people of Keny,Kenya,hs_sweep,2026-03-23,1,https://x.com/Kenyans/status/2036005909038596258,proposed,
The Government succeeded.,Kenya,hs_sweep,2026-03-23,1,https://x.com/_KithureKindiki/status/2035998926109647260,proposed,
"The Government will crush the criminals, like we did in",Kenya,hs_sweep,2026-03-23,1,https://x.com/_KithureKindiki/status/2035998926109647260,proposed,
If government allows it then it remains. sadly 😔,Kenya,hs_sweep,2026-03-24,1,https://x.com/_Kastido/status/2035975292200906963,proposed,
Norwegian government has played a longstanding role as a reli,South Sudan,hs_sweep,2026-03-24,1,https://x.com/Kiir_Adut/status/2036174332523946010,proposed,
the government will intensify efforts to recover stolen,Kenya,hs_sweep,2026-03-24,1,https://x.com/citymirrorKE/status/2036110005770879225,proposed,
despite government orders to remove them.,South Sudan,hs_sweep,2026-03-24,1,https://x.com/SouthSudan24_/status/2036368211495551346,proposed,
